base_dataset,label,extended_only,thermodynamic_features_PROPER,thermodynamic_features_fine_beta_FINER_PROPER,state_and_edge_entropies,state_and_edge_entropies_fine_alpha,baseline_state_and_edge,thermodynamic_features_PROPER+extended ,thermodynamic_features_fine_beta_FINER_PROPER+extended ,state_and_edge_entropies+extended ,state_and_edge_entropies_fine_alpha+extended ,baseline_state_and_edge+extended ,thermodynamic_features_PROPER+extended +baseline_state_and_edge,thermodynamic_features_fine_beta_FINER_PROPER+extended +baseline_state_and_edge,state_and_edge_entropies+extended +baseline_state_and_edge,state_and_edge_entropies_fine_alpha+extended +baseline_state_and_edge
Cognitive_load_fixations_0.02,effort_label,0.669196489052417,0.6008808560377075,0.555957214058453,0.5331067847958182,0.5393102543441852,0.6007159918196043,0.6696049018995918,0.6412096653623838,0.6791826614929304,0.6466964954983163,0.7004211280705608,0.6211503189790846,0.5882399265345029,0.6027728158533813,0.5581462427232503
Cognitive_load_fixations_0.02,frustration_label,0.1763114517904886,0.1078533657542288,0.0666083941960826,0.1182149411019944,0.1840550065144041,0.1830926320605709,0.2291756036867881,0.1703366345955578,0.2393817097466535,0.2198173687661986,0.2221786885616374,0.1484638100003951,0.0886847860542383,0.1415141197752133,0.0973931220887416
Cognitive_load_fixations_0.02,mental_label,0.6818839016705871,0.6640774679655996,0.6520752574327794,0.6713402234380477,0.6506107251379609,0.6495070358465118,0.740096343958579,0.7493947064693238,0.7511539775863862,0.7074022360295571,0.7357955796142777,0.6914811168225911,0.65263071366458,0.6455229466207827,0.6747764094189017
Cognitive_load_fixations_0.02,performance_label,0.3173343897916433,0.2356826741155059,0.1839675466630249,0.3042142187653982,0.2299970067275125,0.248759970700142,0.3138038438463486,0.2534691775569913,0.3415433888709309,0.3847042029074107,0.3983971906498741,0.220777105456549,0.1948735978018789,0.2878749806768073,0.2502904975777709
Cognitive_load_fixations_0.02,physical_label,0.1289855237227269,0.2382940317513464,0.1333912258060566,0.0987171390332157,0.1573655069260872,0.1332323293250794,0.2358872477302418,0.1652411652175878,0.253202388357066,0.2591124194096006,0.2366357662892686,0.1479682555641407,0.1514211032929725,0.1360225183087774,0.1285991866543153
Cognitive_load_fixations_0.02,temporal_label,0.2380560461279828,0.1685112504287823,0.1877327360307481,0.1645454764309551,0.1176387309547284,0.2070004447972769,0.2663852395964184,0.2645533707594817,0.2244940721800243,0.2672089912091691,0.2573706798510484,0.1469588088551773,0.2037088731216747,0.1702329603335111,0.1899736775684969
Emotions_fixations_0.02,Disgust_label,0.1319864510843177,0.1114470862510738,0.1337270245557533,0.1042351839415672,0.0853546182984565,0.101649928395849,0.3515554372718898,0.3585666826339393,0.3330778106313972,0.3218346790724048,0.3419447428852825,0.1454878397291511,0.096682175954989,0.0978279091113264,0.1149471863133061
Emotions_fixations_0.02,Sadness_label,0.2225264522624285,0.1476365497667729,0.1788828534813019,0.1982943319551503,0.1916703311754525,0.1929193043977719,0.3342236696458207,0.315859805434305,0.3844206825923902,0.3750130254309203,0.39636526432563,0.1416363396851495,0.1891156628420641,0.1979543836683482,0.1907631702738691
Emotions_fixations_0.02,Tenderness_label,0.113044026466555,0.0909043704565281,0.103615054389897,0.1266900156413871,0.0801535341368103,0.0949876410424211,0.1335719219729604,0.068114703203214,0.1516636402523743,0.1380923143825392,0.0984249808040323,0.0900587698373677,0.0902508121083781,0.1027813972929827,0.1079838490771354
