base_dataset,label,extended_only,thermodynamic_features_PROPER,thermodynamic_features_fine_beta_FINER_PROPER,state_and_edge_entropies,state_and_edge_entropies_fine_alpha,baseline_state_and_edge,thermodynamic_features_PROPER+extended ,thermodynamic_features_fine_beta_FINER_PROPER+extended ,state_and_edge_entropies+extended ,state_and_edge_entropies_fine_alpha+extended ,baseline_state_and_edge+extended ,thermodynamic_features_PROPER+extended +baseline_state_and_edge,thermodynamic_features_fine_beta_FINER_PROPER+extended +baseline_state_and_edge,state_and_edge_entropies+extended +baseline_state_and_edge,state_and_edge_entropies_fine_alpha+extended +baseline_state_and_edge
Cognitive_load_fixations_0.02,effort_label,-0.1600393641786002,-13.30587479861389,-6.528265769433401,-125557.82948272284,-114.86288476940148,0.6693930753771646,-19.60304797812205,-25.88700307668353,-46.08732297717903,-13.93449335018172,-0.6150410741382595,-20.96854603729492,-33.7699866924733,-56.53317287095727,-14.002760490206128
Cognitive_load_fixations_0.02,frustration_label,-1.442553658057328,-57.59211662584824,-6.741758219123982,-85003.56306921248,-36.270275836099486,0.1434536390969247,-15.37014479652083,-17.17115852170475,-119.8426435904822,-9.519654875551565,-1.2616132106961602,-13.694324596103929,-11.074169906453616,-121.27443898547584,-9.50690247450208
Cognitive_load_fixations_0.02,mental_label,-0.1437258678322617,-17.5769387498749,-4.137910773592147,-44931.0676846549,-125.26419563645248,0.6383463170605023,-17.605848469024366,-25.78707882253744,-30.69877545843439,-7.009146959810229,-0.3550650226953131,-14.682522771846784,-5.424219063589334,-38.06713187129149,-7.342848006971035
Cognitive_load_fixations_0.02,performance_label,-3.5506100996586536,-191.6008214635877,-11.15963671345768,-33940.87219564548,-204.3267609861371,0.2799813862120716,-45.617097764799006,-12.388212154908915,-173.4705402325884,-22.05817422916437,-4.243258481946724,-29.1309498318626,-10.718434364139176,-146.3880483414091,-21.999978680657545
Cognitive_load_fixations_0.02,physical_label,-6.954365421394287,-26.4656734885918,-13.43152727995133,-171270.60898202812,-928.3882731980632,0.0568831493201247,-204.6166967377237,-32.744816749108566,-127.56945456962244,-53.41487801150591,-4.523193855828198,-69.63804131828253,-62.42929627738648,-94.91143640830634,-52.87448986757676
Cognitive_load_fixations_0.02,temporal_label,-13.383373739796136,-41.991660541822725,-21.88567347004143,-72148.76415008253,-368.3773125533584,-0.0970210176233326,-206.8883747818533,-46.36895457303003,-108.8774213030911,-63.25159180989316,-20.384440775050763,-88.81304576754715,-5.36760246127794,-72.57558689515302,-63.11227709168753
Emotions_fixations_0.02,Disgust_label,-0.1774658484419411,-2.634382221246618,-157.42962530163862,-5769.317007202598,-5962688.847901895,0.061065033011125,-5.476115315380201,-85.41444960675177,-7365.6991715539025,-56060.02240824863,-0.2221132401530319,-6.403478080554732,-40.89493522746995,-5473.676268107588,-54050.26630050142
Emotions_fixations_0.02,Sadness_label,-0.3069490415480849,-2.9458279372716083,-162.73566646274014,-24122.765007802253,-1879663.5581032515,0.0634648786561739,-2.7506103051565898,-162.59241789063344,-16723.90817176776,-14496.015640358675,-0.3901883732217761,-3.865164582584957,-69.60001479256519,-460.56965596169016,-13542.82086285779
Emotions_fixations_0.02,Tenderness_label,-0.0379510445006971,-3.037870165527341,-94.1524584921498,-11799.066747009729,-3951092.635350156,0.1348027751981118,-6.097174444302802,-24.08111278333195,-306.5105889339864,-16070.59970487778,-0.0268619939826548,-6.547239110356803,-24.38665038150992,-618.4469650491855,-15502.326887543484
